id,name_uz,name_ru,name_en
5371,Quloqchinlar va audio texnikalar,Наушники и аудиооборудование,Headphones and audio equipment
5400,Quloqchinlar,Наушники,Headphones
5243,Elektronikaa,Электроника,Electronics
5499,Smartfonlar,Смартфоны,Smartphones
6396,Aksessuarlar,Аксессуары,Accessories
7378,Xoʻjalik buyumlari,Предметы домашнего обихода,Household items
5473,Smartfonlar va telefonlar,Смартфоны и телефоны,Smartphones and phones
5657,Katta maishiy texnika,Крупная бытовая техника,Large household appliances
7142,Uy-roʻzgʻor buyumlari,Предметы домашнего обихода,Household items
6641,Yoʻl sumkalari,Дорожные сумки,Travel bags
6643,Uyqu uchun mahsulotlar,Товары для сна,Sleep products
5676,Kir yuvish mashinalari,Стиральные машины,Washing machines
5630,Ventilyatorlar,Фанаты,Fans
5628,Maishiy texnika,Бытовая техника,Home appliances
6640,Sayohat uchun aksessuarlar,Дорожные аксессуары,Travel accessories
5629,Iqlim texnikasi,Климатическая инженерия,Climate engineering
5308,Kompyuter texnikasi,Компьютерные технологии,Computer technology
5244,Elektronikalar uchun aksessuarlar,Аксессуары для электроники,Electronics accessories
10077,Dorixona,Аптека,Pharmacy
6200,Poyabzallar,Обувь,Shoes
5497,Knopkali telefonlar,Кнопочные телефоны,Push-button phones
5247,Akkumulyator batareyalar,Аккумуляторные батареи,Rechargeable batteries
6201,Ayollar poyabzali,Женская обувь,Women's shoes
10110,Mashinalar,Машины,Machines
5506,Televizorlar va videotexnikalar,Телевизоры и видеотехника,Televisions and video equipment
6397,Ayollar aksessuarlari,Женские аксессуары,Women's accessories
8549,Basseyn uchun aksessuarlar,Аксессуары для бассейна,Pool accessories
10111,Toyota,Тойота,Toyota
8548,Basseynlar va aksessuarlar,Бассейны и аксессуары,Swimming pools and accessories
5689,Uy uchun texnika,Бытовая техника,Home appliances
5245,USB hablar,USB-динамик,USB speaker
5428,Noutbuklar,Ноутбуки,Laptops
5309,Kompyuter aksessuarlari,Компьютерные аксессуары,Computer accessories
7016,Salomatlik,Здоровье,Health
7018,Ovqat hazm qilish tizimi uchun,Для пищеварительной системы,For the digestive system
7017,Vitaminlar va BFQlar,Витамины и витамины группы В,Vitamins and B vitamins
5350,Kompyuterlar,Компьютеры,Computers
5431,Planshetlar va elektron kitoblar,Планшеты и электронные книги,Tablets and e-books
5474,Smartfonlar uchun aksessuarlar,Аксессуары для смартфонов,Smartphone accessories
5648,Havoni tozalash va namlantirish,Очистка и увлажнение воздуха,Air purification and humidification
7179,Ovqat pishirish uchun idishlar,Кухонная утварь,Cooking utensils
5275,Oʻyin pristavkalari,Игровые консоли,Game consoles
5289,Oʻyin kontrollerlari,Игровые контроллеры,Game controllers
5451,Ofis texnikasi,Офисное оборудование,Office equipment
5362,Navigatorlar,Навигаторы,Navigators
5418,"Noutbuklar, planshetlar va elektron kitoblar","Ноутбуки, планшеты и электронные книги","Laptops, tablets and e-books"
9922,Badiiy adabiyot,Вымысел,Fiction
6649,Chamadonlar,Чемоданы,Suitcases
7144,Oshxona anjomlari,Кухонная утварь,Kitchen utensils
9599,Kitoblar,Книги,Books
6670,Makiyaj,Составить,Makeup
6714,Qoshlar,брови,Eyebrows
6696,Lablar,Губы,Lips
6669,Goʻzallik va parvarish,Красота и уход,Beauty and care
8018,Avtomobil uchun moylar va kimyoviy moddalar,Автомобильные масла и химикаты,Automotive oils and chemicals
7823,Avtotovarlar.,Автомобильная продукция.,Automotive products.
6462,Zargarlik buyumlari,Ювелирные изделия,Jewelry
10113,corolla 2024 compitition,конкурс королла 2024,corolla 2024 competition
5680,Sovutgichlar va muzlatgichlar,Холодильники и морозильники,Refrigerators and freezers
9402,Ruchkalar,Ручки,Pens
5749,Idish yuvish mashinalar,Посудомоечные машины,Dishwashers
9224,Xatchoʻplar,Закладки,Bookmarks
9387,Yozuv qurollari,Пишущие инструменты,Writing instruments
9179,Qogʻoz mahsulotlari,Бумажные изделия,Paper products
5694,Changyutgichlar va aksessuarlar,Пылесосы и аксессуары,Vacuum cleaners and accessories
5753,Oshxona buyumlari,Кухонные принадлежности,Kitchenware
5808,Mikrotoʻlqinli pechlar,Микроволновые печи,Microwave ovens
5533,Televizorlar,Телевизоры,Televisions
5731,Soch kesish,Стрижка,Haircut
7217,Tamaddixona idishlari,Ресторанная утварь,Restaurant utensils
5276,Oʻyin pristavkalari uchun aksessuarlar va ehtiyot qismlar,Аксессуары и запчасти для игровых приставок,Accessories and spare parts for game consoles
9603,Badiiy adabiyot,Вымысел,Fiction
7249,Pazandachilik aksessuarlari,Кухонные принадлежности,Cooking accessories
9568,Itlar uchun,Для собак,For dogs
9591,Idishlar,Тарелки,Dishes
5670,Oshxona dudburonlari,Кухонные вытяжки,Kitchen hoods
9917,Elektron kitoblar,Электронные книги,E-books
5381,Audiotexnika,Аудиооборудование,Audio equipment
5751,Quritgich mashinasi,Сушильная машина,Dryer machine
5640,Konditsionerlar va split tizimlar,Кондиционеры и сплит-системы,Air conditioners and split systems
9926,"Dacha, bogʻ va tomorqa","Коттедж, сад и двор","Cottage, garden and yard"
5634,Suv isitgichlari va isitish qozonlari,Водонагреватели и отопительные котлы,Water heaters and heating boilers
9987,Bogʻ texnikasi,Садовая техника,Gardening equipment
5745,Pechlar,Духовки,Ovens
10103,UPDATE_TEST_UZ2 2 111,ОБНОВЛЕНИЕ_ТЕСТ_UZ2 2 111,UPDATE_TEST_UZ2 2 111
7917,Avtomobil uchun suvenirlar,Автомобильные сувениры,Car souvenirs
5811,Sharbat chiqargichlar,Соковыжималки,Juicers
